path,category,size_bytes,last_write_time,reason,risk_level,recommended_action
scripts\v18\run_v18_1A_safe_bootstrap.ps1,BUG_OR_RISK_TO_FIX,0,2026-05-13 16:30:15,Empty script placeholder; classify dependencies before cleanup.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4K_R2_safe_delete_cleanup.ps1,BUG_OR_RISK_TO_FIX,7272,2026-05-15 18:38:07,Cleanup script has an -Apply path; use only with explicit approval.,High,DO_NOT_DELETE
scripts\v18\run_v18_4K_workspace_cleanup.ps1,BUG_OR_RISK_TO_FIX,5352,2026-05-15 17:28:21,Cleanup script has an -Apply path; use only with explicit approval.,High,DO_NOT_DELETE
scripts\v18\run_v18_5D_generated_output_retention_cleanup.ps1,BUG_OR_RISK_TO_FIX,14152,2026-05-15 23:52:06,Cleanup script has an -Apply path; use only with explicit approval.,High,DO_NOT_DELETE
scripts\v18\run_v18_8A_legacy_v15_v16_purge.ps1,BUG_OR_RISK_TO_FIX,6798,2026-05-16 18:53:28,Cleanup script has an -Apply path; use only with explicit approval.,High,DO_NOT_DELETE
scripts\v18\patch_v18_10B_R2_R1_readfirst_parser_fix.py,KEEP_BUT_REVIEW,1863,2026-05-17 00:42:11,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_10B_R2_factor_research_daily_chain.ps1,KEEP_BUT_REVIEW,12225,2026-05-17 00:42:11,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_10B_R3_stable_snapshot.ps1,KEEP_BUT_REVIEW,747,2026-05-17 01:01:16,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_10C_R2_stable_snapshot.ps1,KEEP_BUT_REVIEW,747,2026-05-17 01:21:57,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_10D_R1_stable_snapshot.ps1,KEEP_BUT_REVIEW,747,2026-05-17 01:56:04,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_10D_R2_stable_snapshot.ps1,KEEP_BUT_REVIEW,747,2026-05-17 02:05:46,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_11_calendar_vwap_rv_shadow_factors.ps1,KEEP_BUT_REVIEW,1126,2026-05-17 23:25:46,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_11D_shadow_factor_daily.ps1,KEEP_BUT_REVIEW,7309,2026-05-17 23:38:02,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_11E_shadow_factor_summary.ps1,KEEP_BUT_REVIEW,1009,2026-05-17 23:48:20,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_11F_R1_stable_snapshot.ps1,KEEP_BUT_REVIEW,949,2026-05-18 00:04:54,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_11F_shadow_factor_research_chain.ps1,KEEP_BUT_REVIEW,11287,2026-05-17 23:54:56,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_1A_factor_lab_check.ps1,KEEP_BUT_REVIEW,1289,2026-05-13 16:30:39,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_1B_factor_value_compute.ps1,KEEP_BUT_REVIEW,964,2026-05-13 16:35:54,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1,KEEP_BUT_REVIEW,2474,2026-05-13 19:44:31,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1,KEEP_BUT_REVIEW,6720,2026-05-13 19:49:44,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1,KEEP_BUT_REVIEW,1416,2026-05-14 13:53:36,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1,KEEP_BUT_REVIEW,6666,2026-05-13 19:57:56,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_3D_R1_official_overlap_fix.ps1,KEEP_BUT_REVIEW,1087,2026-05-14 14:32:00,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1,KEEP_BUT_REVIEW,6227,2026-05-14 14:47:14,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1,KEEP_BUT_REVIEW,8189,2026-05-14 18:16:38,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4A_factor_forward_outcome_tracker.ps1,KEEP_BUT_REVIEW,1533,2026-05-14 16:25:48,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4A_R1_daily_integrated_wrapper.ps1,KEEP_BUT_REVIEW,5799,2026-05-14 16:33:50,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4B_factor_outcome_summary_promotion_rules.ps1,KEEP_BUT_REVIEW,1647,2026-05-14 16:43:23,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4B_R1_final_daily_wrapper.ps1,KEEP_BUT_REVIEW,6930,2026-05-14 16:47:58,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4C_archive_old_event_price_scripts.ps1,KEEP_BUT_REVIEW,4988,2026-05-14 23:17:14,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4C_cloud_earnings_event_update.ps1,KEEP_BUT_REVIEW,6289,2026-05-14 17:03:57,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4C_R1_final_daily_wrapper.ps1,KEEP_BUT_REVIEW,1190,2026-05-14 17:03:57,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4C_R2_stable_snapshot.ps1,KEEP_BUT_REVIEW,8137,2026-05-14 22:37:36,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4C_runtime_dependency_audit.ps1,KEEP_BUT_REVIEW,13056,2026-05-14 18:11:16,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4D_factor_pack_audit.ps1,KEEP_BUT_REVIEW,11753,2026-05-16 15:22:05,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4E_factor_output_forward_tracking_audit.ps1,KEEP_BUT_REVIEW,17914,2026-05-16 15:22:05,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
scripts\v18\run_v18_4F_forward_tracker_factor_coverage_repair.ps1,KEEP_BUT_REVIEW,11244,2026-05-14 22:55:08,Non-active V18 script; may be legacy or dependency.,Medium,DO_NOT_DELETE
