source_path,source_relative_path,file_size_mb,row_count,column_count,proposed_archive_zip_path,proposed_lightweight_summary_path,archive_candidate,apply,archive_zip_created,archive_zip_verified,lightweight_summary_created,delete_original_after_verified_archive,original_deleted,notes
D:\us-tech-quant\outputs\v18\technical_timing_backtest\V18_6B_CURRENT_TECHNICAL_TIMING_BACKTEST_DETAIL.csv,outputs/v18/technical_timing_backtest/V18_6B_CURRENT_TECHNICAL_TIMING_BACKTEST_DETAIL.csv,85.358,142295,57,archive/generated_outputs_compressed/technical_timing_backtest_current_details/V18_6B_CURRENT_TECHNICAL_TIMING_BACKTEST_DETAIL.csv_20260519_152433.zip,outputs/v18/technical_timing_backtest_current_slim/V18_6B_CURRENT_TECHNICAL_TIMING_BACKTEST_DETAIL_LIGHTWEIGHT_SUMMARY.csv,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ZIP_VERIFIED
D:\us-tech-quant\outputs\v18\technical_timing_backtest\V18_6B_R1_CURRENT_TECHNICAL_TIMING_DIAGNOSTIC_DETAIL.csv,outputs/v18/technical_timing_backtest/V18_6B_R1_CURRENT_TECHNICAL_TIMING_DIAGNOSTIC_DETAIL.csv,166.158,142295,90,archive/generated_outputs_compressed/technical_timing_backtest_current_details/V18_6B_R1_CURRENT_TECHNICAL_TIMING_DIAGNOSTIC_DETAIL.csv_20260519_152439.zip,outputs/v18/technical_timing_backtest_current_slim/V18_6B_R1_CURRENT_TECHNICAL_TIMING_DIAGNOSTIC_DETAIL_LIGHTWEIGHT_SUMMARY.csv,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ZIP_VERIFIED
