STATUS: WARN_V18_49B_SOURCE_BACKTEST_LOW_EVIDENCE
PATCH_VERSION: V18.49B-R1
PATCH_NAME: OPTIONS_PROMOTION_GATE_AND_HISTORY_NORMALIZATION_REPAIR
SOURCE_V18_49A_FOUND: TRUE
SOURCE_V18_49A_PATCH_VERSION: V18.49A-R1
SOURCE_V18_49A_STATUS: WARN_V18_49A_R1_LIMITED_POINT_IN_TIME_EVIDENCE
SOURCE_EVIDENCE_QUALITY: LOW
SOURCE_COMPARISON_BASIS_STATUS: COMPARISON_BASIS_LIMITED
SOURCE_BEST_POLICY_ID: BASELINE_TOP20
SOURCE_RECOMMENDATION_LABEL: SIMULATION_CANDIDATE_BALANCED_LOW_EVIDENCE
SIMULATION_POLICY_STYLE: SIM_BALANCED
PRIMARY_POLICY_ID: BASELINE_TOP20
SECONDARY_POLICY_ID: NONE
ENTRY_AGGRESSIVENESS: LIMITED_NORMAL
EXIT_AGGRESSIVENESS: ACTIVE_REVIEW
MAX_PAPER_BUY_COUNT: 3
MAX_PAPER_ADD_COUNT: 1
MAX_PAPER_REDUCE_COUNT: 1
ALLOW_NEW_PAPER_BUYS: TRUE
ALLOW_PAPER_ADDS: TRUE
ALLOW_PAPER_REDUCES: TRUE
ALLOW_PAPER_EXIT_REVIEW: TRUE
POLICY_CONFIDENCE: LOW
CURRENT_ALIAS_WRITTEN: TRUE
OFFICIAL_RANKING_CHANGED: FALSE
OPTIONS_RISK_FILTERED_PROMOTED: FALSE
OPTIONS_RISK_FILTERED_BLOCKED_REASON: OPTIONS_RISK_FILTERED_EVIDENCE_INSUFFICIENT
HISTORY_ROWS_NORMALIZED: 20
HISTORY_MALFORMED_ROWS_DROPPED: 0
HISTORY_DUPLICATE_RUN_DATE_ROWS_COLLAPSED: 0
HISTORY_APPEND_SAFE: TRUE
FACTOR_WEIGHTS_CHANGED: FALSE
OFFICIAL_BUY_PERMISSION_CHANGED: FALSE
OFFICIAL_SELL_PERMISSION_CHANGED: FALSE
REAL_TRADE_EXECUTION_ALLOWED: FALSE
OPTIONS_TRADE_EXECUTION_ALLOWED: FALSE
TRADING_EXECUTION_ALLOWED: FALSE
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
BROKER_API_USED: FALSE
ORDER_EXECUTION_USED: FALSE
VALIDATION_NOTES: READ_ONLY_SIMULATION_POLICY_ENGINE_NO_BACKTEST_NO_RANKING_WEIGHT_PERMISSION_POSITION_BROKER_ORDER_OR_TRADING_CHANGES
