path,item_type,size_mb,reason,reference_count,referenced_by_sample,current_alias_related,stable_snapshot_related,manual_state_related,price_cache_related,source_code_related,generated_output_related
state/v18/price_cache/MSFT.csv,FILE,0.2524,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/SPY.csv,FILE,0.2523,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/BE.csv,FILE,0.2521,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/DELL.csv,FILE,0.2521,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/QQQ.csv,FILE,0.2521,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/CRM.csv,FILE,0.2520,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/TXN.csv,FILE,0.2520,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ANET.csv,FILE,0.2519,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/PANW.csv,FILE,0.2519,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/SMH.csv,FILE,0.2519,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/TSM.csv,FILE,0.2519,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/AMAT.csv,FILE,0.2518,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/META.csv,FILE,0.2518,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/MU.csv,FILE,0.2518,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ORCL.csv,FILE,0.2518,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/PLTR.csv,FILE,0.2518,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/TER.csv,FILE,0.2518,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/VRT.csv,FILE,0.2518,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/FLR.csv,FILE,0.2517,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/KEYS.csv,FILE,0.2517,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/NXPI.csv,FILE,0.2517,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/VST.csv,FILE,0.2517,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ZS.csv,FILE,0.2517,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/AMKR.csv,FILE,0.2516,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/APH.csv,FILE,0.2516,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/IGV.csv,FILE,0.2516,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/CRWD.csv,FILE,0.2515,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/MRVL.csv,FILE,0.2515,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ETN.csv,FILE,0.2514,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ACMR.csv,FILE,0.2513,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/JBL.csv,FILE,0.2513,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ON.csv,FILE,0.2513,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/SNOW.csv,FILE,0.2513,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/DDOG.csv,FILE,0.2512,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ECL.csv,FILE,0.2512,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/GLW.csv,FILE,0.2512,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/GNRC.csv,FILE,0.2511,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/PSTG.csv,FILE,0.2511,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ETR.csv,FILE,0.2510,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/IRDM.csv,FILE,0.2510,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/AEHR.csv,FILE,0.2509,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ENTG.csv,FILE,0.2509,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/NET.csv,FILE,0.2509,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/NTAP.csv,FILE,0.2508,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/POWL.csv,FILE,0.2508,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/COHR.csv,FILE,0.2507,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/IYW.csv,FILE,0.2507,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/STX.csv,FILE,0.2507,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/CIEN.csv,FILE,0.2506,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/COHU.csv,FILE,0.2506,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/NVT.csv,FILE,0.2506,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/CARR.csv,FILE,0.2505,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/CLS.csv,FILE,0.2505,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/PWR.csv,FILE,0.2505,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/D.csv,FILE,0.2504,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/MOD.csv,FILE,0.2504,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ACLS.csv,FILE,0.2503,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ICHR.csv,FILE,0.2503,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/MKSI.csv,FILE,0.2503,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/MDB.csv,FILE,0.2502,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/MCHP.csv,FILE,0.2500,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/FORM.csv,FILE,0.2499,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/KLIC.csv,FILE,0.2499,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/LITE.csv,FILE,0.2498,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/SANM.csv,FILE,0.2498,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/HUBB.csv,FILE,0.2497,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/CAMT.csv,FILE,0.2496,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/KLAC.csv,FILE,0.2496,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ACM.csv,FILE,0.2495,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/FN.csv,FILE,0.2494,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/MPWR.csv,FILE,0.2490,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/ASML.csv,FILE,0.2489,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/FIX.csv,FILE,0.2489,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/CIFR.csv,FILE,0.2475,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
