path,relative_path,file_size_bytes,file_size_mb,modified_time,delete_reason,delete_risk_level,protected_status,will_delete_in_apply,deleted,delete_error
D:\us-tech-quant\outputs\v17\ops\V17_8D_upstream_8C_run.log,outputs/v17/ops/V17_8D_upstream_8C_run.log,15482,0.015,2026-05-19T10:53:42,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3D_R2_upstream_R1_run.log,outputs/v18/ops/V18_3D_R2_upstream_R1_run.log,4333,0.004,2026-05-19T10:53:52,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260518_130454.log,outputs/v18/ops/V18_3E_R2_step1_v17_8D_official_20260518_130454.log,1503,0.001,2026-05-18T13:06:06,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260518_131004.log,outputs/v18/ops/V18_3E_R2_step1_v17_8D_official_20260518_131004.log,1503,0.001,2026-05-18T13:11:07,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260518_164440.log,outputs/v18/ops/V18_3E_R2_step1_v17_8D_official_20260518_164440.log,1504,0.001,2026-05-18T16:45:44,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260518_212143.log,outputs/v18/ops/V18_3E_R2_step1_v17_8D_official_20260518_212143.log,1504,0.001,2026-05-18T21:22:43,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260518_213521.log,outputs/v18/ops/V18_3E_R2_step1_v17_8D_official_20260518_213521.log,1503,0.001,2026-05-18T21:36:19,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260519_105238.log,outputs/v18/ops/V18_3E_R2_step1_v17_8D_official_20260519_105238.log,1504,0.001,2026-05-19T10:53:42,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260518_130454.log,outputs/v18/ops/V18_3E_R2_step2_v18_3C_shadow_20260518_130454.log,3216,0.003,2026-05-18T13:06:11,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260518_131004.log,outputs/v18/ops/V18_3E_R2_step2_v18_3C_shadow_20260518_131004.log,3216,0.003,2026-05-18T13:11:12,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
