STATUS: OK
MODE: READ_ONLY_SHADOW_PORTFOLIO_CONSTRUCTION
GENERATED_AT: 2026-05-27T12:59:14
TOTAL_PORTFOLIO_COUNT: 10
READY_PORTFOLIO_COUNT: 10
WARNING_PORTFOLIO_COUNT: 0
PORTFOLIO_CONSTRUCTION_WARNING_COUNT: 0
CANDIDATE_UNIVERSE_COUNT: 318
TOTAL_HOLDING_ROWS: 744
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
OFFICIAL_DECISION_IMPACT: NONE
FACTOR_WEIGHTS_MODIFIED: FALSE
FORBIDDEN_MODIFIED: FALSE
CANDIDATE_ALIAS_MUTATION: FALSE
FREEZE_LEDGER_MUTATION: FALSE
PAPER_TRADING_LEDGER_MUTATION: FALSE
ACCOUNT_STATE_MUTATION: FALSE
BROKER_API_ORDER_CODE: DISABLED
