"path","resolved_path","action","exists_before","file_count_before","size_bytes_before","deleted","exists_after","error"
"archive\stable\V18_4A_R2_stable_daily_integrated_forward_tracker_20260514_164044","D:\us-tech-quant\archive\stable\V18_4A_R2_stable_daily_integrated_forward_tracker_20260514_164044","DELETE_EXACT_ALLOWLIST_DIR","True","170","2053463","True","False",""
"archive\stable\V18_4B_R2_stable_final_daily_promotion_rules_20260514_165551","D:\us-tech-quant\archive\stable\V18_4B_R2_stable_final_daily_promotion_rules_20260514_165551","DELETE_EXACT_ALLOWLIST_DIR","True","184","2218243","True","False",""
"archive\stable\V18_4C_R2_stable_runtime_audit_event_price_cleanup_20260514_223737","D:\us-tech-quant\archive\stable\V18_4C_R2_stable_runtime_audit_event_price_cleanup_20260514_223737","DELETE_EXACT_ALLOWLIST_DIR","True","288","2184571","True","False",""
"archive\stable\V18_4G_R2_stable_final_daily_factor_audit_20260514_235859","D:\us-tech-quant\archive\stable\V18_4G_R2_stable_final_daily_factor_audit_20260514_235859","DELETE_EXACT_ALLOWLIST_DIR","True","340","2875049","True","False",""
"archive\stable\V18_4I_R2_stable_integrated_final_daily_promotion_merge_20260515_152927","D:\us-tech-quant\archive\stable\V18_4I_R2_stable_integrated_final_daily_promotion_merge_20260515_152927","DELETE_EXACT_ALLOWLIST_DIR","True","499","7976058","True","False",""
"archive\stable\V18_6E_R2_stable_final_read_center_with_technical_20260516_012845","D:\us-tech-quant\archive\stable\V18_6E_R2_stable_final_read_center_with_technical_20260516_012845","DELETE_EXACT_ALLOWLIST_DIR","True","153","267191524","True","False",""
"archive\stable\V18_7C_R2_stable_main_chain_fast_4E_20260516_154603","D:\us-tech-quant\archive\stable\V18_7C_R2_stable_main_chain_fast_4E_20260516_154603","DELETE_EXACT_ALLOWLIST_DIR","True","734","275005445","True","False",""
