timestamp,category,path,item_type,size_bytes,modified_time,reason,protection_check_result,allowed_by_flags,deleted,delete_error
2026-05-25T00:50:54,OLD_OUTPUT_HISTORY,outputs/v18/ops/V18_25A_R26A_READ_FIRST.txt,FILE,3032,2026-05-22T19:17:05,old generated output history for V18_25A beyond latest 3,UNPROTECTED,FALSE,FALSE,
2026-05-25T00:50:54,OLD_OUTPUT_HISTORY,outputs/v18/ops/V18_25A_R26A_R1_READ_FIRST.txt,FILE,3032,2026-05-22T18:55:21,old generated output history for V18_25A beyond latest 3,UNPROTECTED,FALSE,FALSE,
2026-05-25T00:50:54,OLD_OUTPUT_HISTORY,outputs/v18/ops/V18_25A_R25D_READ_FIRST.txt,FILE,2623,2026-05-22T18:03:51,old generated output history for V18_25A beyond latest 3,UNPROTECTED,FALSE,FALSE,
2026-05-25T00:50:54,OLD_OUTPUT_HISTORY,outputs/v18/ops/V18_25A_R25E_READ_FIRST.txt,FILE,2365,2026-05-22T18:14:58,old generated output history for V18_25A beyond latest 3,UNPROTECTED,FALSE,FALSE,
2026-05-25T00:50:54,OLD_OUTPUT_HISTORY,outputs/v18/ops/V18_25A_R25B_READ_FIRST.txt,FILE,2292,2026-05-22T15:52:32,old generated output history for V18_25A beyond latest 3,UNPROTECTED,FALSE,FALSE,
2026-05-25T00:50:54,OLD_OUTPUT_HISTORY,outputs/v18/ops/V18_25A_R25C_READ_FIRST.txt,FILE,2042,2026-05-22T17:47:49,old generated output history for V18_25A beyond latest 3,UNPROTECTED,FALSE,FALSE,
2026-05-25T00:50:54,OLD_OUTPUT_HISTORY,outputs/v18/ops/V18_25A_R25F_READ_FIRST.txt,FILE,1997,2026-05-22T18:25:22,old generated output history for V18_25A beyond latest 3,UNPROTECTED,FALSE,FALSE,
2026-05-25T00:50:54,OLD_OUTPUT_HISTORY,outputs/v18/ops/V18_25A_R23D_READ_FIRST.txt,FILE,1939,2026-05-22T15:11:10,old generated output history for V18_25A beyond latest 3,UNPROTECTED,FALSE,FALSE,
2026-05-25T00:50:54,OLD_OUTPUT_HISTORY,outputs/v18/ops/V18_25A_R23B_READ_FIRST.txt,FILE,1914,2026-05-23T00:09:32,old generated output history for V18_25A beyond latest 3,UNPROTECTED,FALSE,FALSE,
2026-05-25T00:50:54,OLD_OUTPUT_HISTORY,outputs/v18/ops/V18_16F_READ_FIRST.txt,FILE,1777,2026-05-23T16:49:20,old generated output history for V18_16F beyond latest 3,UNPROTECTED,FALSE,FALSE,
