stable_folder_path,stable_folder_name,folder_size_mb,matching_zip_path,zip_exists,zip_size_mb,zip_verified,is_latest_5_protected,is_v18_16g_r1_protected,delete_candidate,apply,deleted,delete_error,safety_status,notes
D:\us-tech-quant\archive\stable\V18_13C_R1_stable_unified_daily_with_ranked_candidates_20260518_202801,V18_13C_R1_stable_unified_daily_with_ranked_candidates_20260518_202801,0.115,D:\us-tech-quant\archive\stable_compressed\V18_13C_R1_stable_unified_daily_with_ranked_candidates_20260518_202801.zip,TRUE,0.029,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_13B_R1_stable_ranked_candidate_read_center_source_dedup_20260518_182047,V18_13B_R1_stable_ranked_candidate_read_center_source_dedup_20260518_182047,0.122,D:\us-tech-quant\archive\stable_compressed\V18_13B_R1_stable_ranked_candidate_read_center_source_dedup_20260518_182047.zip,TRUE,0.028,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_13A_R1_stable_unified_daily_read_center_link_20260518_164003,V18_13A_R1_stable_unified_daily_read_center_link_20260518_164003,0.045,D:\us-tech-quant\archive\stable_compressed\V18_13A_R1_stable_unified_daily_read_center_link_20260518_164003.zip,TRUE,0.013,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_13A_R1_stable_unified_daily_read_center_link_20260518_163906,V18_13A_R1_stable_unified_daily_read_center_link_20260518_163906,0.044,D:\us-tech-quant\archive\stable_compressed\V18_13A_R1_stable_unified_daily_read_center_link_20260518_163906.zip,TRUE,0.013,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162758,V18_12H_R1_stable_sell_timing_read_center_link_20260518_162758,0.034,D:\us-tech-quant\archive\stable_compressed\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162758.zip,TRUE,0.012,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162546,V18_12H_R1_stable_sell_timing_read_center_link_20260518_162546,0.034,D:\us-tech-quant\archive\stable_compressed\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162546.zip,TRUE,0.012,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_161047,V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_161047,0.044,D:\us-tech-quant\archive\stable_compressed\V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_161047.zip,TRUE,0.015,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_160834,V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_160834,0.044,D:\us-tech-quant\archive\stable_compressed\V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_160834.zip,TRUE,0.015,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155450,V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155450,0.043,D:\us-tech-quant\archive\stable_compressed\V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155450.zip,TRUE,0.014,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155221,V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155221,0.043,D:\us-tech-quant\archive\stable_compressed\V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155221.zip,TRUE,0.014,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150522,V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150522,0.031,D:\us-tech-quant\archive\stable_compressed\V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150522.zip,TRUE,0.012,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150304,V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150304,0.031,D:\us-tech-quant\archive\stable_compressed\V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150304.zip,TRUE,0.012,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12D_R1_stable_exit_signal_forward_validation_20260518_145345,V18_12D_R1_stable_exit_signal_forward_validation_20260518_145345,0.055,D:\us-tech-quant\archive\stable_compressed\V18_12D_R1_stable_exit_signal_forward_validation_20260518_145345.zip,TRUE,0.016,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12D_R1_stable_exit_signal_forward_validation_20260518_145213,V18_12D_R1_stable_exit_signal_forward_validation_20260518_145213,0.055,D:\us-tech-quant\archive\stable_compressed\V18_12D_R1_stable_exit_signal_forward_validation_20260518_145213.zip,TRUE,0.016,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12C_R1_stable_position_lifecycle_review_20260518_143825,V18_12C_R1_stable_position_lifecycle_review_20260518_143825,0.042,D:\us-tech-quant\archive\stable_compressed\V18_12C_R1_stable_position_lifecycle_review_20260518_143825.zip,TRUE,0.014,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12C_R1_stable_position_lifecycle_review_20260518_143729,V18_12C_R1_stable_position_lifecycle_review_20260518_143729,0.042,D:\us-tech-quant\archive\stable_compressed\V18_12C_R1_stable_position_lifecycle_review_20260518_143729.zip,TRUE,0.014,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141759,V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141759,0.053,D:\us-tech-quant\archive\stable_compressed\V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141759.zip,TRUE,0.015,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141656,V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141656,0.053,D:\us-tech-quant\archive\stable_compressed\V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141656.zip,TRUE,0.015,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_12A_R1_stable_sell_timing_shadow_engine_20260518_140101,V18_12A_R1_stable_sell_timing_shadow_engine_20260518_140101,0.047,D:\us-tech-quant\archive\stable_compressed\V18_12A_R1_stable_sell_timing_shadow_engine_20260518_140101.zip,TRUE,0.016,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_11F_R1_stable_shadow_factor_research_chain_20260518_000500,V18_11F_R1_stable_shadow_factor_research_chain_20260518_000500,3.882,D:\us-tech-quant\archive\stable_compressed\V18_11F_R1_stable_shadow_factor_research_chain_20260518_000500.zip,TRUE,0.911,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_10D_R2_stable_current_shadow_research_daily_20260517_020553,V18_10D_R2_stable_current_shadow_research_daily_20260517_020553,5.836,D:\us-tech-quant\archive\stable_compressed\V18_10D_R2_stable_current_shadow_research_daily_20260517_020553.zip,TRUE,1.366,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_10D_R1_stable_official_daily_with_factor_weight_research_20260517_015842,V18_10D_R1_stable_official_daily_with_factor_weight_research_20260517_015842,5.599,D:\us-tech-quant\archive\stable_compressed\V18_10D_R1_stable_official_daily_with_factor_weight_research_20260517_015842.zip,TRUE,1.341,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_10C_R2_stable_factor_weight_research_chain_20260517_012209,V18_10C_R2_stable_factor_weight_research_chain_20260517_012209,5.026,D:\us-tech-quant\archive\stable_compressed\V18_10C_R2_stable_factor_weight_research_chain_20260517_012209.zip,TRUE,1.246,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_10B_R3_stable_factor_research_chain_20260517_010140,V18_10B_R3_stable_factor_research_chain_20260517_010140,4.878,D:\us-tech-quant\archive\stable_compressed\V18_10B_R3_stable_factor_research_chain_20260517_010140.zip,TRUE,1.186,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_8E_R3_stable_current_official_daily_with_simulation_20260516_191846,V18_8E_R3_stable_current_official_daily_with_simulation_20260516_191846,262.987,D:\us-tech-quant\archive\stable_compressed\V18_8E_R3_stable_current_official_daily_with_simulation_20260516_191846.zip,TRUE,90.383,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_7D_R2_stable_fast_official_daily_with_technical_20260516_174922,V18_7D_R2_stable_fast_official_daily_with_technical_20260516_174922,262.775,D:\us-tech-quant\archive\stable_compressed\V18_7D_R2_stable_fast_official_daily_with_technical_20260516_174922.zip,TRUE,90.281,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_6F_R2_stable_official_daily_with_technical_20260516_025712,V18_6F_R2_stable_official_daily_with_technical_20260516_025712,257.072,D:\us-tech-quant\archive\stable_compressed\V18_6F_R2_stable_official_daily_with_technical_20260516_025712.zip,TRUE,89.499,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_4J_R2_stable_final_daily_read_center_20260515_164730,V18_4J_R2_stable_final_daily_read_center_20260515_164730,8.380,D:\us-tech-quant\archive\stable_compressed\V18_4J_R2_stable_final_daily_read_center_20260515_164730.zip,TRUE,1.796,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_3E_R4_stable_cockpit_after_legacy_cleanup_20260514_153532,V18_3E_R4_stable_cockpit_after_legacy_cleanup_20260514_153532,1.341,D:\us-tech-quant\archive\stable_compressed\V18_3E_R4_stable_cockpit_after_legacy_cleanup_20260514_153532.zip,TRUE,0.333,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED_NO_MANIFEST_OR_README_DETECTED
D:\us-tech-quant\archive\stable\V17_6H_R2_stable_repair_health_compat_manual_daily_20260512_214624,V17_6H_R2_stable_repair_health_compat_manual_daily_20260512_214624,0.525,D:\us-tech-quant\archive\stable_compressed\V17_6H_R2_stable_repair_health_compat_manual_daily_20260512_214624.zip,TRUE,0.133,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V17_6H_stable_manual_run_full_universe_latest_price_20260512_165345,V17_6H_stable_manual_run_full_universe_latest_price_20260512_165345,0.549,D:\us-tech-quant\archive\stable_compressed\V17_6H_stable_manual_run_full_universe_latest_price_20260512_165345.zip,TRUE,0.133,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
