STATUS: OK
MODE: PREVIEW_ONLY_SHADOW_PORTFOLIO_SNAPSHOT
RUN_ID: V18_37C_20260526_171210
SIGNAL_DATE: 2026-05-25
SIGNAL_DATE_SOURCE: V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date
TOTAL_PORTFOLIO_COUNT: 10
TOTAL_SNAPSHOT_ROWS: 744
ENTRY_PRICE_AVAILABLE_COUNT: 744
ENTRY_PRICE_MISSING_COUNT: 0
FORWARD_1D_FILLABLE_COUNT: 0
FORWARD_3D_FILLABLE_COUNT: 0
FORWARD_5D_FILLABLE_COUNT: 0
FORWARD_10D_FILLABLE_COUNT: 0
FORWARD_20D_FILLABLE_COUNT: 0
LEDGER_PATH: D:\us-tech-quant\state\v18\shadow_portfolios\V18_SHADOW_PORTFOLIO_DAILY_SNAPSHOT_LEDGER.csv
APPLY_SNAPSHOT: FALSE
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
OFFICIAL_DECISION_IMPACT: NONE
FACTOR_WEIGHTS_MODIFIED: FALSE
OFFICIAL_SIGNAL_FREEZE_LEDGER_MODIFIED: FALSE
PAPER_TRADING_LEDGER_MODIFIED: FALSE
FORBIDDEN_MODIFIED: FALSE
