input_name,path,exists,rows,columns,last_write_time,status,notes
TRACKER,D:\us-tech-quant\state\v18\candidate_forward_tracker\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,YES,57,signal_date;ticker;rank;rank_source;score;price_at_signal;price_date;sector;industry;factor_score;technical_score;risk_label;run_mode;full_daily_mode_status;official_daily_status;v18_14b_status;v18_14a_status;top_5_snapshot;forward_1d_price;forward_1d_return;forward_3d_price;forward_3d_return;forward_5d_price;forward_5d_return;forward_10d_price;forward_10d_return;forward_20d_price;forward_20d_return;max_runup_20d;max_drawdown_20d;validation_status;last_updated;notes,2026-05-27 12:58:40,OK,PERSISTENT_FORWARD_TRACKER
LOCAL_PRICE_SOURCE_1,D:\us-tech-quant\outputs\v18\data\V18_16C_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,YES,318,ticker;universe_tier;data_depth;selected_this_run;update_attempted;update_status;update_mode;used_yfinance;cache_file;cache_exists_before;cache_exists_after;local_source_used;local_source_path;target_history_days;available_history_days;latest_price_date;latest_close;row_count_before;row_count_after;rows_added;failed_reason;runtime_deferred;updated_at,2026-05-27 12:58:12,USED,price_points=318
LOCAL_PRICE_SOURCE_2,D:\us-tech-quant\outputs\v18\data\V18_16C_P3_LOCAL_CACHE_BOOTSTRAP_AUDIT.csv,YES,105,ticker;selected_this_run;universe_tier;data_depth;bootstrap_attempted;bootstrap_status;cache_file;cache_exists_before;cache_exists_after;cache_quality_status;selected_source_path;selected_source_quality;rows_before;rows_after;rows_added;earliest_date;latest_date;latest_close;source_notes;failed_reason;updated_at,2026-05-19 11:58:00,USED,price_points=103
LOCAL_PRICE_SOURCE_3,D:\us-tech-quant\outputs\v18\data\V18_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,YES,318,ticker;universe_tier;data_depth;selected_this_run;update_attempted;update_status;update_mode;used_yfinance;cache_file;cache_exists_before;cache_exists_after;local_source_used;local_source_path;target_history_days;available_history_days;latest_price_date;latest_close;row_count_before;row_count_after;rows_added;failed_reason;runtime_deferred;updated_at,2026-05-27 12:58:12,USED,price_points=318
LOCAL_PRICE_SOURCE_4,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260516_010850.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 01:01:27,USED,price_points=105
LOCAL_PRICE_SOURCE_5,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260516_011753.csv,YES,104,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 01:08:50,USED,price_points=104
LOCAL_PRICE_SOURCE_6,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260516_020525.csv,YES,104,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 01:17:53,USED,price_points=104
LOCAL_PRICE_SOURCE_7,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260516_024302.csv,YES,104,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 02:05:25,USED,price_points=104
LOCAL_PRICE_SOURCE_8,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260516_135023.csv,YES,104,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 02:43:02,USED,price_points=104
LOCAL_PRICE_SOURCE_9,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260516_155316.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 13:50:23,USED,price_points=105
