source_path,size_mb,mode,action,skip_reason,archive_group,zip_path,zip_member_path,source_exists_before,source_exists_after,zip_verified,included_in_zip,current_alias_violation,protected_path_violation,source_code_violation,validation_status
archive/deprecated/v18_4C_event_price_merge_20260514_223322/scripts/run_v16_daily_auto_update_before_v17_4_dashboard_20260511_175841.ps1,0.010,DRYRUN,SKIPPED,Not an OLD_GENERATED_REPORTS archive-group original.,OLD_EXPERIMENTAL_WRAPPERS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_experimental_wrappers.zip,archive/deprecated/v18_4C_event_price_merge_20260514_223322/scripts/run_v16_daily_auto_update_before_v17_4_dashboard_20260511_175841.ps1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,BLOCKED
archive/deprecated/v18_4C_event_price_merge_20260514_223322/scripts/run_v16_daily_auto_update_before_v17_2_factor_tracker_20260511_154526.ps1,0.003,DRYRUN,SKIPPED,Not an OLD_GENERATED_REPORTS archive-group original.,OLD_EXPERIMENTAL_WRAPPERS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_experimental_wrappers.zip,archive/deprecated/v18_4C_event_price_merge_20260514_223322/scripts/run_v16_daily_auto_update_before_v17_2_factor_tracker_20260511_154526.ps1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,BLOCKED
archive/deprecated/v18_4C_event_price_merge_20260514_223322/scripts/run_v17_6A_full_universe_latest_price_audit.ps1,0.001,DRYRUN,SKIPPED,Not an OLD_GENERATED_REPORTS archive-group original.,OLD_EXPERIMENTAL_WRAPPERS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_experimental_wrappers.zip,archive/deprecated/v18_4C_event_price_merge_20260514_223322/scripts/run_v17_6A_full_universe_latest_price_audit.ps1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,BLOCKED
archive/deprecated/v18_5C_zero_runtime_archive_20260515_191705/restore_v18_5C_zero_runtime_archive.ps1,0.001,DRYRUN,SKIPPED,Not an OLD_GENERATED_REPORTS archive-group original.,OLD_EXPERIMENTAL_WRAPPERS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_experimental_wrappers.zip,archive/deprecated/v18_5C_zero_runtime_archive_20260515_191705/restore_v18_5C_zero_runtime_archive.ps1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,BLOCKED
