category,item,status,value,details
check,r21_patch_applied,PASS,TRUE,scripts/v18/v18_25A_R21_daily_signal_freeze_forward_test_ledger.py
check,r21_wrapper_patch_applied,PASS,TRUE,scripts/v18/run_v18_25A_R21_daily_signal_freeze_forward_test_ledger.ps1
check,r30a_patch_applied,PASS,TRUE,scripts/v18/v18_30A_daily_operator_control_center.py
check,r30b_patch_applied,PASS,TRUE,scripts/v18/v18_30B_daily_command_compatibility_guard.py
ledger,duplicate_signal_date_ticker_before,WARN,502,Apply cleanup if nonzero
ledger,duplicate_signal_date_ticker_after,PASS,0,Post-cleanup duplicate count
ledger,latest_signal_date_row_count,PASS,252,2026-05-23
ledger,latest_signal_date_unique_ticker_count,PASS,252,2026-05-23
