source_path,size_mb,mode,action,skip_reason,archive_group,zip_path,zip_member_path,source_exists_before,source_exists_after,zip_verified,included_in_zip,current_alias_violation,protected_path_violation,source_code_violation,validation_status
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_FULL_UNIVERSE_SECOND_STAGE.csv,0.034,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_FULL_UNIVERSE_SECOND_STAGE.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v18/factor_audit/V18_4D_FACTOR_PACK_AUDIT_20260518_131117.csv,0.034,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v18/factor_audit/V18_4D_FACTOR_PACK_AUDIT_20260518_131117.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v18/factor_audit/V18_4D_FACTOR_PACK_AUDIT_20260518_130616.csv,0.031,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v18/factor_audit/V18_4D_FACTOR_PACK_AUDIT_20260518_130616.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260518_130842.csv,0.031,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260518_130842.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260518_131309.csv,0.031,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260518_131309.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260518_164814.csv,0.031,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260518_164814.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260518_212536.csv,0.031,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260518_212536.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260518_213915.csv,0.031,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260518_213915.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260519_105633.csv,0.030,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v18/technical_timing/V18_6A_TECHNICAL_TIMING_20260519_105633.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw105_decision/v17_8B_raw105_decision_readable_panel.csv,0.028,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw105_decision/v17_8B_raw105_decision_readable_panel.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
