audit_time,category,version_key,path,exists,size_mb,last_write_time,action,reason,safe_to_delete,delete_command_preview
2026-05-18 16:17:21,ops_required_current_output,,D:\us-tech-quant\outputs\v18\ops\V18_7B_CURRENT_MAIN_CHAIN_LINEAR_PROFILE.csv,YES,0.002758,2026-05-18 13:13:09,KEEP_REQUIRED_CURRENT_OUTPUT,Latest current output/read-first is not a cleanup candidate.,NO,
2026-05-18 16:17:21,ops_required_current_output,,D:\us-tech-quant\outputs\v18\ops\V18_7B_CURRENT_MAIN_CHAIN_LINEAR_REPORT.md,YES,0.001707,2026-05-18 13:13:09,KEEP_REQUIRED_CURRENT_OUTPUT,Latest current output/read-first is not a cleanup candidate.,NO,
2026-05-18 16:17:21,ops_required_current_output,,D:\us-tech-quant\outputs\v18\ops\V18_7B_READ_FIRST.txt,YES,0.000572,2026-05-18 13:13:09,KEEP_REQUIRED_CURRENT_OUTPUT,Latest current output/read-first is not a cleanup candidate.,NO,
2026-05-18 16:17:21,ops_required_current_output,,D:\us-tech-quant\outputs\v18\ops\V18_7D_CURRENT_OFFICIAL_DAILY_FAST_MAIN_WITH_TECHNICAL_PROFILE.csv,YES,0.001738,2026-05-18 13:13:45,KEEP_REQUIRED_CURRENT_OUTPUT,Latest current output/read-first is not a cleanup candidate.,NO,
2026-05-18 16:17:21,ops_required_current_output,,D:\us-tech-quant\outputs\v18\ops\V18_7D_CURRENT_OFFICIAL_DAILY_FAST_MAIN_WITH_TECHNICAL_REPORT.md,YES,0.001593,2026-05-18 13:13:45,KEEP_REQUIRED_CURRENT_OUTPUT,Latest current output/read-first is not a cleanup candidate.,NO,
2026-05-18 16:17:21,ops_required_current_output,,D:\us-tech-quant\outputs\v18\ops\V18_7D_READ_FIRST.txt,YES,0.000624,2026-05-18 13:13:45,KEEP_REQUIRED_CURRENT_OUTPUT,Latest current output/read-first is not a cleanup candidate.,NO,
2026-05-18 16:17:21,ops_stable_snapshot_current_output,V18_12A_R1,D:\us-tech-quant\outputs\v18\ops\V18_12A_R1_CURRENT_STABLE_SNAPSHOT_REPORT.md,YES,0.001431,2026-05-18 14:01:01,KEEP_REQUIRED_CURRENT_OUTPUT,Current stable snapshot report/read-first output retained for traceability.,NO,
2026-05-18 16:17:21,ops_stable_snapshot_current_output,V18_12A_R1,D:\us-tech-quant\outputs\v18\ops\V18_12A_R1_READ_FIRST.txt,YES,0.000957,2026-05-18 14:01:01,KEEP_REQUIRED_CURRENT_OUTPUT,Current stable snapshot report/read-first output retained for traceability.,NO,
2026-05-18 16:17:21,ops_stable_snapshot_current_output,V18_12B_R1,D:\us-tech-quant\outputs\v18\ops\V18_12B_R1_CURRENT_STABLE_SNAPSHOT_REPORT.md,YES,0.001547,2026-05-18 14:18:00,KEEP_REQUIRED_CURRENT_OUTPUT,Current stable snapshot report/read-first output retained for traceability.,NO,
2026-05-18 16:17:21,ops_stable_snapshot_current_output,V18_12B_R1,D:\us-tech-quant\outputs\v18\ops\V18_12B_R1_READ_FIRST.txt,YES,0.001049,2026-05-18 14:18:00,KEEP_REQUIRED_CURRENT_OUTPUT,Current stable snapshot report/read-first output retained for traceability.,NO,
2026-05-18 16:17:21,ops_stable_snapshot_current_output,V18_12C_R1,D:\us-tech-quant\outputs\v18\ops\V18_12C_R1_CURRENT_STABLE_SNAPSHOT_REPORT.md,YES,0.001535,2026-05-18 14:38:26,KEEP_REQUIRED_CURRENT_OUTPUT,Current stable snapshot report/read-first output retained for traceability.,NO,
2026-05-18 16:17:21,ops_stable_snapshot_current_output,V18_12C_R1,D:\us-tech-quant\outputs\v18\ops\V18_12C_R1_READ_FIRST.txt,YES,0.001034,2026-05-18 14:38:26,KEEP_REQUIRED_CURRENT_OUTPUT,Current stable snapshot report/read-first output retained for traceability.,NO,
