candidate_type,source_path,relative_path,source_size_mb,file_count,proposed_zip_path,estimated_zip_size_mb,estimated_savings_mb,apply,zip_created,zip_verified,original_deleted,delete_original_requested,error
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_15A_R1_stable_manual_position_trade_feedback_20260518_235126,archive/stable/V18_15A_R1_stable_manual_position_trade_feedback_20260518_235126,0.100,21,D:\us-tech-quant\archive\stable_compressed\V18_15A_R1_stable_manual_position_trade_feedback_20260518_235126.zip,0.026,0.045,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_14E_R1_stable_current_daily_with_forward_tracker_20260518_234221,archive/stable/V18_14E_R1_stable_current_daily_with_forward_tracker_20260518_234221,0.151,26,D:\us-tech-quant\archive\stable_compressed\V18_14E_R1_stable_current_daily_with_forward_tracker_20260518_234221.zip,0.046,0.068,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233032,archive/stable/V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233032,0.175,22,D:\us-tech-quant\archive\stable_compressed\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233032.zip,0.038,0.079,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233007,archive/stable/V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233007,0.176,22,D:\us-tech-quant\archive\stable_compressed\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233007.zip,0.039,0.079,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_14C_R1_stable_ranked_candidate_forward_tracker_20260518_231241,archive/stable/V18_14C_R1_stable_ranked_candidate_forward_tracker_20260518_231241,0.115,19,D:\us-tech-quant\archive\stable_compressed\V18_14C_R1_stable_ranked_candidate_forward_tracker_20260518_231241.zip,0.029,0.052,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_14B_R1_stable_current_daily_command_center_20260518_230007,archive/stable/V18_14B_R1_stable_current_daily_command_center_20260518_230007,0.123,23,D:\us-tech-quant\archive\stable_compressed\V18_14B_R1_stable_current_daily_command_center_20260518_230007.zip,0.032,0.056,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_14A_R1_stable_full_daily_mode_validation_parser_only_20260518_224716,archive/stable/V18_14A_R1_stable_full_daily_mode_validation_parser_only_20260518_224716,0.081,16,D:\us-tech-quant\archive\stable_compressed\V18_14A_R1_stable_full_daily_mode_validation_parser_only_20260518_224716.zip,0.023,0.036,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_13D_R1_stable_daily_command_center_read_center_refresh_20260518_211135,archive/stable/V18_13D_R1_stable_daily_command_center_read_center_refresh_20260518_211135,0.100,18,D:\us-tech-quant\archive\stable_compressed\V18_13D_R1_stable_daily_command_center_read_center_refresh_20260518_211135.zip,0.028,0.045,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_13C_R1_stable_unified_daily_with_ranked_candidates_20260518_202801,archive/stable/V18_13C_R1_stable_unified_daily_with_ranked_candidates_20260518_202801,0.115,18,D:\us-tech-quant\archive\stable_compressed\V18_13C_R1_stable_unified_daily_with_ranked_candidates_20260518_202801.zip,0.029,0.052,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_13B_R1_stable_ranked_candidate_read_center_source_dedup_20260518_182047,archive/stable/V18_13B_R1_stable_ranked_candidate_read_center_source_dedup_20260518_182047,0.122,13,D:\us-tech-quant\archive\stable_compressed\V18_13B_R1_stable_ranked_candidate_read_center_source_dedup_20260518_182047.zip,0.028,0.055,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_13A_R1_stable_unified_daily_read_center_link_20260518_164003,archive/stable/V18_13A_R1_stable_unified_daily_read_center_link_20260518_164003,0.045,10,D:\us-tech-quant\archive\stable_compressed\V18_13A_R1_stable_unified_daily_read_center_link_20260518_164003.zip,0.013,0.020,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_13A_R1_stable_unified_daily_read_center_link_20260518_163906,archive/stable/V18_13A_R1_stable_unified_daily_read_center_link_20260518_163906,0.044,10,D:\us-tech-quant\archive\stable_compressed\V18_13A_R1_stable_unified_daily_read_center_link_20260518_163906.zip,0.013,0.020,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162758,archive/stable/V18_12H_R1_stable_sell_timing_read_center_link_20260518_162758,0.034,10,D:\us-tech-quant\archive\stable_compressed\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162758.zip,0.012,0.015,TRUE,TRUE,TRUE,FALSE,FALSE,
STABLE_SNAPSHOT,D:\us-tech-quant\archive\stable\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162546,archive/stable/V18_12H_R1_stable_sell_timing_read_center_link_20260518_162546,0.034,10,D:\us-tech-quant\archive\stable_compressed\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162546.zip,0.012,0.015,TRUE,TRUE,TRUE,FALSE,FALSE,
