ticker,in_total_universe,in_current_candidates,in_latest_signal_freeze,in_factor_pack,in_technical_timing,in_recent_rolling_scan,price_status,freshness_status,latest_price_date,latest_scan_date,exclusion_bucket,exclusion_reason,evidence_sources
0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,UNKNOWN,NOT_RECENTLY_SCANNED,No current scan-plan selection and no last scan date evidence was found.,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,UNKNOWN,NOT_RECENTLY_SCANNED,No current scan-plan selection and no last scan date evidence was found.,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,UNKNOWN,NOT_RECENTLY_SCANNED,No current scan-plan selection and no last scan date evidence was found.,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
250,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,UNKNOWN,NOT_RECENTLY_SCANNED,No current scan-plan selection and no last scan date evidence was found.,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
252,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,UNKNOWN,NOT_RECENTLY_SCANNED,No current scan-plan selection and no last scan date evidence was found.,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
303,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,UNKNOWN,NOT_RECENTLY_SCANNED,No current scan-plan selection and no last scan date evidence was found.,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
318,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,UNKNOWN,NOT_RECENTLY_SCANNED,No current scan-plan selection and no last scan date evidence was found.,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
325,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,UNKNOWN,NOT_RECENTLY_SCANNED,No current scan-plan selection and no last scan date evidence was found.,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
