target_ticker,neighbor_rank,neighbor_ticker,company_name,composite_score,delta_score_vs_target,top_differing_columns
FORM,1,FORM,,59.2000,0.0000,TARGET
FORM,2,AEIS,,58.8600,-0.3400,latest_close: 117.419998 -> 313.049988; rank: 1 -> 2; technical_status: TECH_TIMING_PULLBACK_WATCH -> TECH_TIMING_WATCH_POSITIVE; composite_candidate_score: 59.2 -> 58.86
FORM,3,AGX,,57.4000,-1.8000,latest_close: 117.419998 -> 630.5; rank: 1 -> 3; composite_candidate_score: 59.2 -> 57.4; technical_status: TECH_TIMING_PULLBACK_WATCH -> TECH_TIMING_NEUTRAL
FORM,4,BLTE,,57.3240,-1.8760,latest_close: 117.419998 -> 143.360001; rank: 1 -> 4; composite_candidate_score: 59.2 -> 57.324; technical_status: TECH_TIMING_PULLBACK_WATCH -> TECH_TIMING_WATCH_POSITIVE
