STATUS: WARN_V18_16E_PROMOTION_DEMOTION_ENGINE_VALIDATION_FAILED
MODE: PROMOTION_DEMOTION_ONLY
TOTAL_UNIVERSE_COUNT: 336
SCANNED_TICKER_COUNT: 318
PROMOTED_TO_WATCHLIST_COUNT: 0
PROMOTED_TO_STRONG_WATCH_COUNT: 0
PROMOTED_TO_CANDIDATE_COUNT: 0
PROMOTED_TO_CORE_DAILY_COUNT: 0
DEMOTED_TO_CANDIDATE_COUNT: 0
DEMOTED_TO_STRONG_WATCH_COUNT: 127
DEMOTED_TO_WATCHLIST_COUNT: 0
DEMOTED_TO_RESEARCH_COUNT: 0
KEPT_SAME_TIER_COUNT: 97
CAP_LIMITED_NO_PROMOTION_COUNT: 94
NOT_EVALUATED_INSUFFICIENT_DATA_COUNT: 0
POSITION_COUNT: 0
CORE_DAILY_COUNT: 45
CANDIDATE_COUNT: 146
STRONG_WATCH_COUNT: 127
WATCHLIST_COUNT: 0
RESEARCH_COUNT: 18
PROTECTED_POSITION_COUNT: 0
AUTO_DEMOTED_POSITION_COUNT: 0
SAME_DAY_PROMOTION_GUARD: TRUE
FORCE_SAME_DAY_PROMOTION: FALSE
SAME_DAY_RUN_COUNT: 1
LAST_PROMOTION_DATE: 2026-05-21
LAST_CORE_PROMOTION_DATE: 
CORE_PROMOTION_ALLOWED_THIS_RUN: TRUE
CORE_PROMOTION_BLOCKED_BY_SAME_DAY_GUARD_COUNT: 0
CORE_DAILY_TARGET_CAP: 30
CORE_DAILY_HARD_CAP: 50
CANDIDATE_TARGET_CAP: 80
CANDIDATE_HARD_CAP: 120
MAX_PROMOTE_TO_CORE_DAILY_THIS_RUN: 10
MAX_PROMOTE_TO_CANDIDATE_THIS_RUN: 25
MAX_PROMOTE_TO_STRONG_WATCH_THIS_RUN: 50
PRICE_UPDATE_EXECUTED: FALSE
EVENT_UPDATE_EXECUTED: FALSE
FULL_UNIVERSE_UPDATE_EXECUTED: FALSE
CURRENT_DAILY_MODIFIED: FALSE
STABLE_SNAPSHOT_MODIFIED: FALSE
DANGEROUS_TOKEN_FINDING_COUNT: 0
VALIDATION_FAIL_COUNT: 1
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
OFFICIAL_DECISION_IMPACT: NONE
