audit_item,status,current_ranked_candidate_source_file,ranking_source_status,sort_column_or_inferred_sort_columns,score_columns_present,factor_related_columns_present,missing_expected_factor_columns,all_ranked_candidates_have_scores,ranking_appears_score_based_or_file_order,current_or_stale,fast_mode_prior_score_read_risk,related_source_outputs,source_script_references,note
trend,NOT_FOUND,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,"scripts/v18/v18_13B_ranked_candidate_read_center.py:score_ref=TRUE,factor_ref=TRUE; scripts/v18/v18_13C_ranked_candidate_unified_link.py:score_ref=TRUE,factor_ref=FALSE; scripts/v18/v18_14B_current_daily_command_center.py:score_ref=TRUE,factor_ref=FALSE",Usage is not marked VERIFIED_USED unless current fields and sort prove the factor participates directly.
momentum,NOT_FOUND,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,"scripts/v18/v18_13B_ranked_candidate_read_center.py:score_ref=TRUE,factor_ref=TRUE; scripts/v18/v18_13C_ranked_candidate_unified_link.py:score_ref=TRUE,factor_ref=FALSE; scripts/v18/v18_14B_current_daily_command_center.py:score_ref=TRUE,factor_ref=FALSE",Usage is not marked VERIFIED_USED unless current fields and sort prove the factor participates directly.
relative_strength,NOT_FOUND,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,"scripts/v18/v18_13B_ranked_candidate_read_center.py:score_ref=TRUE,factor_ref=TRUE; scripts/v18/v18_13C_ranked_candidate_unified_link.py:score_ref=TRUE,factor_ref=FALSE; scripts/v18/v18_14B_current_daily_command_center.py:score_ref=TRUE,factor_ref=FALSE",Usage is not marked VERIFIED_USED unless current fields and sort prove the factor participates directly.
pullback,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,pullback_status,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,"scripts/v18/v18_13B_ranked_candidate_read_center.py:score_ref=TRUE,factor_ref=TRUE; scripts/v18/v18_13C_ranked_candidate_unified_link.py:score_ref=TRUE,factor_ref=FALSE; scripts/v18/v18_14B_current_daily_command_center.py:score_ref=TRUE,factor_ref=FALSE",Usage is not marked VERIFIED_USED unless current fields and sort prove the factor participates directly.
overheat,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,overheat_status,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,"scripts/v18/v18_13B_ranked_candidate_read_center.py:score_ref=TRUE,factor_ref=TRUE; scripts/v18/v18_13C_ranked_candidate_unified_link.py:score_ref=TRUE,factor_ref=FALSE; scripts/v18/v18_14B_current_daily_command_center.py:score_ref=TRUE,factor_ref=FALSE",Usage is not marked VERIFIED_USED unless current fields and sort prove the factor participates directly.
volatility,NOT_FOUND,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,"scripts/v18/v18_13B_ranked_candidate_read_center.py:score_ref=TRUE,factor_ref=TRUE; scripts/v18/v18_13C_ranked_candidate_unified_link.py:score_ref=TRUE,factor_ref=FALSE; scripts/v18/v18_14B_current_daily_command_center.py:score_ref=TRUE,factor_ref=FALSE",Usage is not marked VERIFIED_USED unless current fields and sort prove the factor participates directly.
event_risk,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,event_risk_status,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,"scripts/v18/v18_13B_ranked_candidate_read_center.py:score_ref=TRUE,factor_ref=TRUE; scripts/v18/v18_13C_ranked_candidate_unified_link.py:score_ref=TRUE,factor_ref=FALSE; scripts/v18/v18_14B_current_daily_command_center.py:score_ref=TRUE,factor_ref=FALSE",Usage is not marked VERIFIED_USED unless current fields and sort prove the factor participates directly.
execution_penalty,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,execution_status,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,"scripts/v18/v18_13B_ranked_candidate_read_center.py:score_ref=TRUE,factor_ref=TRUE; scripts/v18/v18_13C_ranked_candidate_unified_link.py:score_ref=TRUE,factor_ref=FALSE; scripts/v18/v18_14B_current_daily_command_center.py:score_ref=TRUE,factor_ref=FALSE",Usage is not marked VERIFIED_USED unless current fields and sort prove the factor participates directly.
TOP20_RANKED_TICKER_01,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=29.788571;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,APH
TOP20_RANKED_TICKER_02,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=26.558730;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,ACM
