input_name,path,exists,rows,columns,last_write_time,status,notes
PRIMARY_RANKED_CANDIDATES,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,YES,318,rank;ticker;composite_candidate_score;ranking_source_policy;primary_score_source_files;audit_only_source_files;score_source_status;score_source_files;score_source_columns;latest_price_date;latest_close;technical_status;event_risk_status;overheat_status;pullback_status;execution_status;final_action;reason,2026-05-25 13:40:27,OK,PRIMARY_INPUT
FALLBACK_RANKED_CANDIDATES,D:\us-tech-quant\outputs\v18\candidates\V18_13B_CURRENT_RANKED_CANDIDATES.csv,YES,20,rank;ticker;composite_candidate_score;ranking_source_policy;primary_score_source_files;audit_only_source_files;score_source_status;score_source_files;score_source_columns;latest_price_date;latest_close;technical_status;event_risk_status;overheat_status;pullback_status;execution_status;final_action;reason,2026-05-27 12:58:37,OK,FALLBACK_INPUT
CURRENT_READ_FIRST,D:\us-tech-quant\outputs\v18\read_center\V18_CURRENT_READ_FIRST.txt,YES,0,,2026-05-27 12:58:38,OK_TEXT,RUN_CONTEXT
V18_14B_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_14B_READ_FIRST.txt,YES,0,,2026-05-27 12:58:38,OK_TEXT,RUN_CONTEXT
PRICE_SOURCE_1,D:\us-tech-quant\outputs\v18\data\V18_16C_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,YES,318,ticker;universe_tier;data_depth;selected_this_run;update_attempted;update_status;update_mode;used_yfinance;cache_file;cache_exists_before;cache_exists_after;local_source_used;local_source_path;target_history_days;available_history_days;latest_price_date;latest_close;row_count_before;row_count_after;rows_added;failed_reason;runtime_deferred;updated_at,2026-05-27 12:58:12,USED_FOR_PRICE_CONTEXT,price_points=318
PRICE_SOURCE_2,D:\us-tech-quant\outputs\v18\data\V18_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,YES,318,ticker;universe_tier;data_depth;selected_this_run;update_attempted;update_status;update_mode;used_yfinance;cache_file;cache_exists_before;cache_exists_after;local_source_used;local_source_path;target_history_days;available_history_days;latest_price_date;latest_close;row_count_before;row_count_after;rows_added;failed_reason;runtime_deferred;updated_at,2026-05-27 12:58:12,USED_FOR_PRICE_CONTEXT,price_points=318
PRICE_SOURCE_3,D:\us-tech-quant\outputs\v18\factor_pack\V18_25A_R13_TARGETED_FACTOR_PACK_STAGED.csv,YES,52,factor_pack_rank;ticker;factor_pack_score;latest_price_date;latest_close;ret_5d;ret_20d;ret_60d;ret_120d;volume_ratio_5_20;F006_SHORT_REV_5D;F007_PULLBACK_IN_UPTREND;F008_VOLUME_ABNORMAL_5_20;F009_VOLUME_PRICE_CONFIRM;F010_XSEC_COMPOSITE_RANK;F011_TS_MOMENTUM_60_120;F012_TS_PULLBACK_REVERSAL;volatility_penalty;overheat_penalty;shadow_side_hint,2026-05-22 00:08:19,USED_FOR_PRICE_CONTEXT,price_points=52
PRICE_SOURCE_4,D:\us-tech-quant\outputs\v18\factor_pack\V18_35D_FULL_UNIVERSE_FACTOR_PACK_RANKING.csv,YES,318,factor_pack_rank;ticker;factor_pack_score;latest_price_date;latest_close;ret_5d;ret_20d;ret_60d;ret_120d;volume_ratio_5_20;F006_SHORT_REV_5D;F007_PULLBACK_IN_UPTREND;F008_VOLUME_ABNORMAL_5_20;F009_VOLUME_PRICE_CONFIRM;F010_XSEC_COMPOSITE_RANK;F011_TS_MOMENTUM_60_120;F012_TS_PULLBACK_REVERSAL;volatility_penalty;overheat_penalty;shadow_side_hint,2026-05-25 14:11:08,USED_FOR_PRICE_CONTEXT,price_points=318
PRICE_SOURCE_5,D:\us-tech-quant\outputs\v18\factor_pack\V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv,YES,318,factor_pack_rank;ticker;factor_pack_score;latest_price_date;latest_close;ret_5d;ret_20d;ret_60d;ret_120d;volume_ratio_5_20;F006_SHORT_REV_5D;F007_PULLBACK_IN_UPTREND;F008_VOLUME_ABNORMAL_5_20;F009_VOLUME_PRICE_CONFIRM;F010_XSEC_COMPOSITE_RANK;F011_TS_MOMENTUM_60_120;F012_TS_PULLBACK_REVERSAL;volatility_penalty;overheat_penalty;shadow_side_hint,2026-05-25 14:11:53,USED_FOR_PRICE_CONTEXT,price_points=318
PRICE_SOURCE_6,D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,YES,105,factor_pack_rank;ticker;factor_pack_score;latest_price_date;latest_close;ret_5d;ret_20d;ret_60d;ret_120d;volume_ratio_5_20;F006_SHORT_REV_5D;F007_PULLBACK_IN_UPTREND;F008_VOLUME_ABNORMAL_5_20;F009_VOLUME_PRICE_CONFIRM;F010_XSEC_COMPOSITE_RANK;F011_TS_MOMENTUM_60_120;F012_TS_PULLBACK_REVERSAL;volatility_penalty;overheat_penalty;shadow_side_hint,2026-05-19 10:53:51,USED_FOR_PRICE_CONTEXT,price_points=105
