path,relative_path,file_size_mb,keep_reason,protected_category
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1,scripts/run_v16_daily_auto_update.ps1,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_legacy_dir_skeleton_20260517_212544.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_legacy_dir_skeleton_20260517_212544.bak,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_recursion_fix_20260517_213743.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_recursion_fix_20260517_213743.bak,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_screened_count_fix_20260517_214052.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_screened_count_fix_20260517_214052.bak,0.004,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_screened_count_fix_R2_corrected_20260517_214230.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_screened_count_fix_R2_corrected_20260517_214230.bak,0.006,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_yaml_format_fix_R3_20260517_214637.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_yaml_format_fix_R3_20260517_214637.bak,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_yaml_no_bom_permanent_20260517_215255.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_yaml_no_bom_permanent_20260517_215255.bak,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_yaml_parser_exact_fix_R4_20260517_214906.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_yaml_parser_exact_fix_R4_20260517_214906.bak,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1,scripts/run_v16_daily_full_universe.ps1,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_legacy_dir_skeleton_20260517_212544.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_legacy_dir_skeleton_20260517_212544.bak,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_recursion_fix_20260517_213743.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_recursion_fix_20260517_213743.bak,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_screened_count_fix_20260517_214052.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_screened_count_fix_20260517_214052.bak,0.004,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_screened_count_fix_R2_corrected_20260517_214230.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_screened_count_fix_R2_corrected_20260517_214230.bak,0.006,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_yaml_format_fix_R3_20260517_214637.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_yaml_format_fix_R3_20260517_214637.bak,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_yaml_no_bom_permanent_20260517_215255.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_yaml_no_bom_permanent_20260517_215255.bak,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
