"stamp","step_order","step_name","start_time","end_time","elapsed_seconds","status","command","log_path","error_message"
"20260527_224738","1","V18.4C_RUNTIME_AUDIT_ONCE","2026-05-27 22:47:38","2026-05-27 22:47:39","0.963","OK","D:\us-tech-quant\scripts\v18\run_v18_4C_runtime_dependency_audit.ps1 -Root D:\us-tech-quant -Entry D:\us-tech-quant\scripts\v18\run_v18_4B_R1_final_daily_wrapper.ps1","D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260527_224738.log",""
"20260527_224738","2","V18.4C_FINAL_DAILY_SKIP_AUDIT","2026-05-27 22:47:39","2026-05-27 22:48:37","57.554","FAIL","D:\us-tech-quant\scripts\v18\run_v18_4C_R1_final_daily_wrapper.ps1 -SkipAudit","D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260527_224738.log","powershell.exe : powershell.exe : powershell.exe : powershell.exe : powershell.exe : powershell.exe : Price audit did not pass. Status=FAIL_PRICE_SCRIPT_EXIT"
