portfolio_id,holding_count,weight_sum,entry_price_available_count,entry_price_missing_count,forward_1d_fillable_count,forward_3d_fillable_count,forward_5d_fillable_count,forward_10d_fillable_count,forward_20d_fillable_count,max_single_name_weight,min_single_name_weight,official_decision_impact,research_only
FULL318_EQUAL_WEIGHT,318,1.0,318,0,0,0,0,0,0,0.0031446541,0.0031446503,NONE,TRUE
LOW_VOL_ADJUSTED_TOP50,50,1.0,50,0,0,0,0,0,0,0.0352465137,0.0012425369,NONE,TRUE
MOTIF_READY_EQUAL_WEIGHT,18,1.0,18,0,0,0,0,0,0,0.0555555556,0.0555555548,NONE,TRUE
MOTIF_READY_TOPN_BLEND,18,1.0,18,0,0,0,0,0,0,0.1,0.0166666667,NONE,TRUE
TOP100_EQUAL_WEIGHT,100,1.0,100,0,0,0,0,0,0,0.01,0.01,NONE,TRUE
TOP100_SCORE_WEIGHTED,100,1.0,100,0,0,0,0,0,0,0.0128123248,0.0082279988,NONE,TRUE
TOP20_EQUAL_WEIGHT,20,1.0,20,0,0,0,0,0,0,0.05,0.05,NONE,TRUE
TOP20_SCORE_WEIGHTED,20,1.0,20,0,0,0,0,0,0,0.0540729856,0.0472079084,NONE,TRUE
TOP50_EQUAL_WEIGHT,50,1.0,50,0,0,0,0,0,0,0.02,0.02,NONE,TRUE
TOP50_SCORE_WEIGHTED,50,1.0,50,0,0,0,0,0,0,0.0230241175,0.0179679931,NONE,TRUE
