input_name,path,exists,rows,columns,last_write_time,status,notes
MANUAL_POSITIONS,D:\us-tech-quant\state\v18\manual\V18_MANUAL_POSITIONS.csv,YES,0,position_id;ticker;shares;avg_cost;currency;entry_date;account;position_type;planned_max_jpy;notes,2026-05-18 23:46:04,OK,MANUAL_INPUT
MANUAL_TRADE_LOG,D:\us-tech-quant\state\v18\manual\V18_MANUAL_TRADE_LOG.csv,YES,0,trade_id;trade_date;ticker;side;shares;price;currency;account;reason;linked_signal_date;manual_override;notes,2026-05-18 23:46:04,OK,MANUAL_INPUT
FORWARD_TRACKER,D:\us-tech-quant\state\v18\candidate_forward_tracker\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,YES,57,signal_date;ticker;rank;rank_source;score;price_at_signal;price_date;sector;industry;factor_score;technical_score;risk_label;run_mode;full_daily_mode_status;official_daily_status;v18_14b_status;v18_14a_status;top_5_snapshot;forward_1d_price;forward_1d_return;forward_3d_price;forward_3d_return;forward_5d_price;forward_5d_return;forward_10d_price;forward_10d_return;forward_20d_price;forward_20d_return;max_runup_20d;max_drawdown_20d;validation_status;last_updated;notes,2026-05-25 18:48:04,OK,OPTIONAL_SIGNAL_LINK
CURRENT_RANKED_CANDIDATES,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,YES,318,rank;ticker;composite_candidate_score;ranking_source_policy;primary_score_source_files;audit_only_source_files;score_source_status;score_source_files;score_source_columns;latest_price_date;latest_close;technical_status;event_risk_status;overheat_status;pullback_status;execution_status;final_action;reason,2026-05-25 13:40:27,OK,OPTIONAL_RANK_CONTEXT
