metric,value
STATUS,WARN_V18_16F_CURRENT_DAILY_WITH_ROLLING_UNIVERSE_SCAN_VALIDATION_FAILED
MODE,CURRENT_DAILY_INTEGRATION_WITH_ROLLING_SCAN
RUN_MODE,FULL_DAILY
RUN_TRIGGERED_UPDATE,TRUE
BACKGROUND_UPDATE,DISABLED
AUTO_SCHEDULED_UPDATE,DISABLED
ROLLING_SCAN_THIS_RUN,TRUE
SCAN_SCOPED_DATA_UPDATE,TRUE
USE_YFINANCE_FOR_ROLLING_SCAN,FALSE
MAX_RUNTIME_SECONDS,300
SOFT_STOP_SECONDS,270
ACTUAL_RUNTIME_SECONDS,210.404
RUNTIME_BUDGET_STATUS,OK_WITHIN_BUDGET
TOTAL_UNIVERSE_COUNT,336
TODAY_ROLLING_SCAN_COUNT,318
DAILY_MIN_SCAN_COUNT,68
SCANNED_TICKER_COUNT,318
DATA_UNAVAILABLE_COUNT,0
LATEST_ONLY_COUNT,1
FULL_HISTORY_AVAILABLE_COUNT,317
PROMOTED_TO_WATCHLIST_COUNT,0
PROMOTED_TO_STRONG_WATCH_COUNT,0
PROMOTED_TO_CANDIDATE_COUNT,0
PROMOTED_TO_CORE_DAILY_COUNT,0
SAME_DAY_PROMOTION_GUARD,TRUE
FORCE_SAME_DAY_PROMOTION,FALSE
SAME_DAY_RUN_COUNT,1
LAST_PROMOTION_DATE,2026-05-21
LAST_CORE_PROMOTION_DATE,
CORE_PROMOTION_ALLOWED_THIS_RUN,TRUE
CORE_PROMOTION_BLOCKED_BY_SAME_DAY_GUARD_COUNT,0
DEMOTED_TO_CANDIDATE_COUNT,0
DEMOTED_TO_STRONG_WATCH_COUNT,127
DEMOTED_TO_WATCHLIST_COUNT,0
DEMOTED_TO_RESEARCH_COUNT,0
CAP_LIMITED_NO_PROMOTION_COUNT,94
POSITION_COUNT,0
CORE_DAILY_COUNT,45
CANDIDATE_COUNT,146
STRONG_WATCH_COUNT,127
WATCHLIST_COUNT,0
RESEARCH_COUNT,18
FORWARD_TRACKER_RUN,TRUE
MANUAL_FEEDBACK_RUN,TRUE
FORWARD_TRACKER_STATUS,RAN
MANUAL_FEEDBACK_STATUS,RAN
PRICE_UPDATE_EXECUTED,FALSE
EVENT_UPDATE_EXECUTED,FALSE
FULL_UNIVERSE_UPDATE_EXECUTED,FALSE
CURRENT_DAILY_MODIFIED,TRUE_FOR_OPTIONAL_FLAG_ONLY
STABLE_SNAPSHOT_MODIFIED,FALSE
DANGEROUS_TOKEN_FINDING_COUNT,0
COMPONENT_FAIL_COUNT,2
VALIDATION_FAIL_COUNT,2
AUTO_TRADE,DISABLED
AUTO_SELL,DISABLED
OFFICIAL_DECISION_IMPACT,NONE
