"depth","kind","caller","callee","exists","extension"
"0","entry","","D:\us-tech-quant\scripts\v18\run_v18_4B_R1_final_daily_wrapper.ps1","True",".ps1"
"1","powershell_file_variable:EvaluatorRun","D:\us-tech-quant\scripts\v18\run_v18_4B_R1_final_daily_wrapper.ps1","D:\us-tech-quant\scripts\v18\run_v18_4B_factor_outcome_summary_promotion_rules.ps1","True",".ps1"
"2","quoted_script_reference","D:\us-tech-quant\scripts\v18\run_v18_4B_factor_outcome_summary_promotion_rules.ps1","D:\us-tech-quant\scripts\v18\run_v18_4A_R1_daily_integrated_wrapper.ps1","True",".ps1"
"3","powershell_file_variable:TrackerRun","D:\us-tech-quant\scripts\v18\run_v18_4A_R1_daily_integrated_wrapper.ps1","D:\us-tech-quant\scripts\v18\run_v18_4A_factor_forward_outcome_tracker.ps1","True",".ps1"
"4","quoted_script_reference","D:\us-tech-quant\scripts\v18\run_v18_4A_factor_forward_outcome_tracker.ps1","D:\us-tech-quant\scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","True",".ps1"
"5","quoted_script_reference","D:\us-tech-quant\scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","D:\us-tech-quant\scripts\run_v17_8D_raw105_current_only_daily.ps1","True",".ps1"
"6","powershell_file_variable:UpstreamScript","D:\us-tech-quant\scripts\run_v17_8D_raw105_current_only_daily.ps1","D:\us-tech-quant\scripts\run_v17_8C_raw105_clean_overwrite_daily.ps1","True",".ps1"
"7","powershell_file_variable:Upstream","D:\us-tech-quant\scripts\run_v17_8C_raw105_clean_overwrite_daily.ps1","D:\us-tech-quant\scripts\run_v17_8B_raw105_full_decision_readable_panel.ps1","True",".ps1"
"8","powershell_file_variable:Upstream","D:\us-tech-quant\scripts\run_v17_8B_raw105_full_decision_readable_panel.ps1","D:\us-tech-quant\scripts\run_v17_8A_raw105_full_decision_daily.ps1","True",".ps1"
"9","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_8A_raw105_full_decision_daily.ps1","D:\us-tech-quant\scripts\run_v17_7G_R1_manual_daily_dynamic_raw105.ps1","True",".ps1"
"10","powershell_file_variable:Upstream","D:\us-tech-quant\scripts\run_v17_7G_R1_manual_daily_dynamic_raw105.ps1","D:\us-tech-quant\scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","True",".ps1"
"11","variable_script_value:BaseDaily","D:\us-tech-quant\scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1","True",".ps1"
"12","variable_script_value:OfficialScript","D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1","D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1","True",".ps1"
"12","powershell_file_variable:FullUniverseScript","D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1","D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1","True",".ps1"
"12","variable_script_value:PriceAuditScript","D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1","D:\us-tech-quant\scripts\run_v17_6E_screened_universe_latest_price_audit.ps1","True",".ps1"
"13","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_6E_screened_universe_latest_price_audit.ps1","D:\us-tech-quant\scripts\run_v17_6E_screened_universe_latest_price_audit.py","True",".py"
"12","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1","D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1","True",".ps1"
"12","powershell_file_variable:CompatPreflightScript","D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1","D:\us-tech-quant\scripts\run_v17_6G_B_legacy_health_compat_preflight.ps1","True",".ps1"
"11","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","D:\us-tech-quant\scripts\run_v17_7_raw_universe_full_screen_audit.ps1","True",".ps1"
"12","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_7_raw_universe_full_screen_audit.ps1","D:\us-tech-quant\scripts\run_v17_7_raw_universe_full_screen_audit.py","True",".py"
"11","variable_script_value:SemanticAudit","D:\us-tech-quant\scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","D:\us-tech-quant\scripts\run_v17_7B_universe_semantic_audit.ps1","True",".ps1"
"11","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","D:\us-tech-quant\scripts\run_v17_7D_main_compute_delta_audit.ps1","True",".ps1"
"11","variable_script_value:RemovedInspection","D:\us-tech-quant\scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","D:\us-tech-quant\scripts\run_v17_7E_removed_main_compute_inspection.ps1","True",".ps1"
"11","variable_script_value:FreshnessAccept","D:\us-tech-quant\scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","D:\us-tech-quant\scripts\run_v17_7F_B_raw105_price_freshness_acceptance.ps1","True",".ps1"
"11","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","D:\us-tech-quant\scripts\run_v17_7F_raw105_latest_price_refresh.ps1","True",".ps1"
"12","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_7F_raw105_latest_price_refresh.ps1","D:\us-tech-quant\scripts\run_v17_7F_raw105_latest_price_refresh.py","True",".py"
"10","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_7G_R1_manual_daily_dynamic_raw105.ps1","D:\us-tech-quant\scripts\run_v17_7G_R1_manual_daily_dynamic_raw105.ps1","True",".ps1"
"9","variable_script_value:PyScript","D:\us-tech-quant\scripts\run_v17_8A_raw105_full_decision_daily.ps1","D:\us-tech-quant\scripts\run_v17_8A_raw105_full_decision_daily.py","True",".py"
"8","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_8B_raw105_full_decision_readable_panel.ps1","D:\us-tech-quant\scripts\run_v17_8B_raw105_full_decision_readable_panel.ps1","True",".ps1"
"7","quoted_script_reference","D:\us-tech-quant\scripts\run_v17_8C_raw105_clean_overwrite_daily.ps1","D:\us-tech-quant\scripts\run_v17_8C_raw105_clean_overwrite_daily.ps1","True",".ps1"
"5","quoted_script_reference","D:\us-tech-quant\scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","D:\us-tech-quant\scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1","True",".ps1"
"6","variable_script_value:Step1","D:\us-tech-quant\scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1","D:\us-tech-quant\scripts\v18\run_v18_1B_factor_value_compute.ps1","True",".ps1"
"7","quoted_script_reference","D:\us-tech-quant\scripts\v18\run_v18_1B_factor_value_compute.ps1","D:\us-tech-quant\src\v18\factor_lab\compute_v18_1B_factor_values.py","True",".py"
"6","variable_script_value:Py3A","D:\us-tech-quant\scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1","D:\us-tech-quant\src\v18\factor_lab\run_v18_3A_factor_shadow_daily.py","True",".py"
